SubPlot;idTree;Xfield;Yfield;Family;Genus;Species;CircCorr
1;100655;7,5000000000000;179,50000000000000;Peraceae;Pogonophora;schomburgkiana;44,000000000000
1;100657;8,0000000000000;183,50000000000000;Peraceae;Pogonophora;schomburgkiana;43,500000000000
1;100658;5,5000000000000;182,50000000000000;Chrysobalanaceae;Licania;membranacea;53,500000000000
1;100659;1,5000000000000;186,00000000000000;Euphorbiaceae;Sandwithia;guyanensis;38,500000000000
1;100660;0,5000000000000;190,00000000000000;Fabaceae;Eperua;falcata;77,000000000000
1;100661;9,0000000000000;196,50000000000000;Celastraceae;Maytenus;oblongata;49,500000000000
1;100662;9,5000000000000;196,50000000000000;Sapindaceae;Indet.Sapindaceae;Indet.;57,500000000000
1;100664;8,0000000000000;205,00000000000000;Myristicaceae;Iryanthera;sagotiana;50,000000000000
1;100665;2,5000000000000;206,00000000000000;Fabaceae;Eperua;falcata;167,000000000000
1;100666;2,0000000000000;204,00000000000000;Clusiaceae;Moronobea;coccinea;62,500000000000
1;100667;1,0000000000000;205,00000000000000;Annonaceae;Oxandra;asbeckii;41,000000000000
1;100668;2,5000000000000;212,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;44,500000000000
1;100669;3,5000000000000;211,00000000000000;Sapotaceae;Pouteria;melanopoda;130,000000000000
1;100670;4,5000000000000;211,00000000000000;Annonaceae;Oxandra;asbeckii;42,500000000000
1;100671;7,0000000000000;210,00000000000000;Peraceae;Pogonophora;schomburgkiana;56,000000000000
1;100672;0,5000000000000;214,00000000000000;Sapotaceae;Micropholis;egensis;125,500000000000
1;100673;3,5000000000000;220,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;43,000000000000
1;100675;8,5000000000000;220,00000000000000;Clusiaceae;Moronobea;coccinea;128,000000000000
1;100676;9,0000000000000;222,00000000000000;Fabaceae;Eperua;falcata;133,000000000000
1;100677;7,0000000000000;226,00000000000000;Fabaceae;Eperua;falcata;123,500000000000
1;100678;2,0000000000000;224,00000000000000;Fabaceae;Recordoxylon;speciosum;134,500000000000
1;100681;9,0000000000000;233,00000000000000;Peraceae;Chaetocarpus;schomburgkianus;59,000000000000
1;100682;4,0000000000000;233,00000000000000;Euphorbiaceae;Sandwithia;guyanensis;36,000000000000
1;100683;1,0000000000000;236,00000000000000;Myrtaceae;Eugenia;cupulata;55,000000000000
1;100684;1,5000000000000;234,50000000000000;Fabaceae;Recordoxylon;speciosum;51,000000000000
1;100685;2,0000000000000;238,00000000000000;Sapotaceae;Pradosia;cochlearia;165,000000000000
1;100686;2,0000000000000;240,50000000000000;Chrysobalanaceae;Couepia;bracteosa;53,000000000000
1;100687;6,5000000000000;244,00000000000000;Lecythidaceae;Lecythis;poiteaui;59,500000000000
1;100688;6,5000000000000;244,00000000000000;Peraceae;Chaetocarpus;schomburgkianus;57,000000000000
1;100689;5,0000000000000;244,00000000000000;Vochysiaceae;Ruizterania;albiflora;216,875000000000
1;100690;3,0000000000000;245,00000000000000;Sapotaceae;Pouteria;ambelaniifolia;67,000000000000
1;100691;4,0000000000000;247,00000000000000;Fabaceae;Eperua;falcata;150,000000000000
1;100692;9,5000000000000;249,50000000000000;Fabaceae;Eperua;falcata;98,000000000000
1;100693;4,0000000000000;248,50000000000000;Fabaceae;Inga;loubryana;38,000000000000
